1,ameerah_villarreal@email.com,swagprincess32,Ameerah,Villarreal,Technology,VII,Cebu,Cebu,0,0,0
2,larry.portillo@email.com,notaportfolio,Larry,Portillo,Technology,VII,Cebu,Lapu-Lapu,0,0,0
3,usmaan_simons@email.com,corporategreed2123,Usmaan,Simons,BPO,VII,Cebu,Cebu,0,0,0
4,adil_lane@email.com,bikelane22,Adil,Lane,Education,VII,Cebu,Cebu,0,0,0
5,pearl_cresswell@email.com,oceanlover69,Pearl,Cresswell,Technology,VII,Cebu,Mandaue,0,0,0
6,zakariyah.rosas32@email.com,greenthumbs4life,Zakariyah,Rosas,Hospitality Management,VII,Cebu,Lapu-Lapu,0,0,0
7,dougie_marks@email.com,riflematenumber23,Dougie,Marks,Hospitality Management,VII,Cebu,Mandaue,0,0,0
8,nimrah.wilkinson@email.com,mineralwater,Nimrah,Wilkinsons,Manufacturing,VII,Cebu,Mandaue,0,0,0
9,appleton.cherry@email.com,food4thought,Cherry,Appleton,Manufacturing,VII,Cebu,Mandaue,0,0,0
10,wyatt_amaya@email.com,iamcuteuwu,Amaya,Wyatt,Education,VII,Cebu,Cebu,0,0,0
11,mikolaj_ratliff@email.com,lightningunderthegun,Mikolaj,Ratliff,Technology,VII,Cebu,Lapu-Lapu,0,0,0
12,barry.stevie@email.com,berryfriendly42,Barry,Stevie,Technology,VII,Cebu,Lapu-Lapu,0,0,0
13,liya_devine@email.com,divineintervension,Liya,Devine,Manufacturing,VII,Cebu,Cebu,0,0,0
14,ria.richardson@email.com,sonofrichard,Ria,Richardson,BPO,VII,Cebu,Cebu,0,0,0
15,glenda_hall@email.com,halloffamesandfortunes,Glenda,Hall,Manufacturing,VII,Cebu,Cebu,0,0,0
16,rosie_gillespie@email.com,roseunderthebud32,Rosie,Gillepsie,BPO,VII,Cebu,Lapu-Lapu,0,0,0
17,ford.matthias@email.com,car4lyfers,Matthias,Ford,BPO,VII,Cebu,Lapu-Lapu,0,0,0
18,inaaya_mill@email.com,wheatbreadlover2146,Inaaya,Mill,Education,VII,Cebu,Mandaue,0,0,0
19,blundwell.aisling@email.com,gunmaniac2314,Aisling,Blundwell,Hospitality Management,VII,Cebu,Mandaue,0,0,0
20,fowler_macey@email.com,birdsofthefeather,Macey,Fowler,Education,VII,Cebu,Cebu,0,0,0
21,lillie_mai.drummond@email.com,flowergirloftheline,Lillie,Drummond,BPO,VII,Cebu,Mandaue,0,0,0
22,tomi.brook@email.com,willworkforfood,Tomi,Brook,BPO,VII,Cebu,Mandaue,0,0,0
23,jeremiah_o.quinn@email.com,jokesallaround,Jeremiah,Quinn,BPO,VII,Cebu,Lapu-Lapu,0,0,0
24,mack_searle@email.com,fish4thoughts,Mack,Searle,Education,VII,Cebu,Lapu-Lapu,0,0,0
25,ebonie.hood@email.com,horseracing4000,Ebonie,Hood,Education,VII,Cebu,Lapu-Lapu,0,0,0
26,sue_hoofman@email.com,readersdigest,Sue,Hoofman,Education,VII,Cebu,Cebu,0,0,0
27,petty.tasneem@email.com,jackmansongs,Petty,Tasneem,Hospitality Management,VII,Cebu,Lapu-Lapu,0,0,0
28,dawe.larissa@email.com,gemstoneintherough,Larissa,Dawe,Hospitality Management,VII,Cebu,Mandaue,0,0,0
29,kaye_yara@email.com,kayelships32,Kaye,Yara,Technology,VII,Cebu,Cebu,0,0,0
30,burt_cherish@email.com,cherrypicklemayo,Burt,Cherish,Hospitality Management,VII,Cebu,Cebu,0,0,0
31,jeniffer_ramsey@email.com,cookethebride214,Jeniffer,Ramsey,Hospitality Management,VII,Cebu,Cebu,0,0,0
32,arjun.lancaster@email.com,pyraaandjaune4ever,Arjun,Lancaster,Technology,VII,Cebu,Mandaue,0,0,0
33,kiki_wiggins@email.com,undeadandmoody,Kiki,Wiggins,Manufacturing,VII,Cebu,Mandaue,0,0,0
34,haigh.alys@email.com,booksanddrinks2,Alys,Haigh,Technology,VII,Cebu,Lapu-Lapu,0,0,0
35,wynn_zack@email.com,modelsandsacks,Zack,Wynn,Technology,VII,Cebu,Lapu-Lapu,0,0,0
36,mosley_elvis@email.com,singingsensation1998,Elvis,Mosley,Education,VII,Cebu,Lapu-Lapu,0,0,0
37,mari_wade@email.com,lighthouselover232,Mari,Wade,Manufacturing,VII,Cebu,Cebu,0,0,0
38,kaila.alexander@email.com,burningthegreatlibrary,Alexander,Kaila,Education,VII,Cebu,Mandaue,0,0,0
39,heath_yusha@email.com,jumpingthegunwater,Heath,Yusha,BPO,VII,Cebu,Mandaue,0,0,0
40,monroe.jeffrey@email.com,kickedout25135,Jeffrey,Monroe,BPO,VII,Cebu,Mandaue,0,0,0
41,elon_musk420@telsta.com,DogeCoin2Moon,Melon,Musk,Technology,VII,Cebu,Cebu,0,0,1
42,zuckthemark@libra.com,allyourdataismine,Mark,Zuckerburger,Education,VII,Cebu,Lapu-Lapu,0,0,1
43,jeffersonsozeb@thecongo.com,iliveinspace,Jefferson,Sozeb,Hospitality Management,VII,Cebu,Mandaue,0,0,1
44,mackja@alibobo@com,chinanumbah1,Mack,Ja,BPO,VII,Cebu,Cebu,0,0,1
45,gillbates@doors.com,masterjebaiter10,Gill,Bates,Technology,VII,Cebu,Lapu-Lapu,0,0,1
46,bernivillamor@ctos.com,financialsupport23,Berni,Villamor,Education,VII,Cebu,Mandaue,0,0,1
47,henrycantsee@shoemart.com,ialreadypassed,Henry,See,Hospitality Management,VII,Cebu,Cebu,0,0,1
48,sanfrancisco@backrow.com,closemindedkaba,San,Francisco,BPO,VII,Cebu,Lapu-Lapu,0,0,1
49,villarsintia@subdivision.com,farmersareuseless,Sintia,Villar,BPO,VII,Cebu,Mandaue,0,0,1
50,belledolphin@bathwater.com,ipostedavideo,Belle,Dolphin,Technology,VII,Cebu,Cebu,0,0,1
